0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Tidak/belum pernah sekolah," 4,923,639 "," 124,303 "," 5,047,942 ",97.54, -   ," 2,286,337 "," 1,700,830 "," 3,987,167 "," 9,035,109 ",55.87," 4,387,904 "," 55,554 "," 4,443,458 ",98.75, -   ," 2,371,928 "," 1,711,432 "," 4,083,360 "," 8,526,818 ",52.11
Tidak/belum tamat SD," 18,151,754 "," 603,194 "," 18,754,948 ",96.78," 154,470 "," 5,292,051 "," 1,835,039 "," 7,281,560 "," 26,036,508 ",72.03," 14,951,112 "," 371,542 "," 15,322,654 ",97.58," 114,509 "," 5,751,559 "," 2,047,369 "," 7,913,437 "," 23,236,091 ",65.94
SD," 31,533,029 "," 1,320,392 "," 32,853,421 ",95.98," 3,111,022 "," 9,081,021 "," 1,496,293 "," 13,688,336 "," 46,541,757 ",70.59," 31,487,578 "," 1,004,961 "," 32,492,539 ",96.91," 2,409,723 "," 11,446,210 "," 1,999,929 "," 15,855,862 "," 48,348,401 ",67.20
SLTP," 21,472,821 "," 1,650,387 "," 23,123,208 ",92.86," 9,386,075 "," 6,807,923 "," 792,314 "," 16,986,312 "," 40,109,520 ",57.65," 20,698,644 "," 1,373,919 "," 22,072,563 ",93.78," 9,522,072 "," 8,121,677 "," 1,174,572 "," 18,818,321 "," 40,890,884 ",53.98
SLTA Umum/SMU," 19,804,914 "," 1,762,411 "," 21,567,325 ",91.83," 3,021,647 "," 5,250,909 "," 712,745 "," 8,985,301 "," 30,552,626 ",70.59," 19,813,373 "," 2,280,029 "," 22,093,402 ",89.68," 3,636,843 "," 6,323,222 "," 980,964 "," 10,941,029 "," 33,034,431 ",66.88
SLTA Kejuruan/SMK," 11,799,733 "," 1,174,366 "," 12,974,099 ",90.95," 678,089 "," 2,248,817 "," 367,604 "," 3,294,510 "," 16,268,609 ",79.75," 10,837,249 "," 1,569,690 "," 12,406,939 ",87.35," 808,295 "," 2,574,690 "," 456,937 "," 3,839,922 "," 16,246,861 ",76.37
Akademi/Diploma," 3,140,091 "," 254,312 "," 3,394,403 ",92.51," 38,467 "," 604,984 "," 147,903 "," 791,354 "," 4,185,757 ",81.09," 3,086,444 "," 251,541 "," 3,337,985 ",92.46," 110,252 "," 717,827 "," 136,251 "," 964,330 "," 4,302,315 ",77.59
Universitas," 10,020,840 "," 565,402 "," 10,586,242 ",94.66," 124,695 "," 916,547 "," 242,245 "," 1,283,487 "," 11,869,729 ",89.19," 9,556,895 "," 653,586 "," 10,210,481 ",93.60," 133,269 "," 896,588 "," 274,778 "," 1,304,635 "," 11,515,116 ",88.67
Tak Terjawab, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Total," 120,846,821 "," 7,454,767 "," 128,301,588 ",94.19," 16,514,465 "," 32,488,589 "," 7,294,973 "," 56,298,027 "," 184,599,615 ",69.50," 114,819,199 "," 7,560,822 "," 122,380,021 ",93.82," 16,734,963 "," 38,203,701 "," 8,782,232 "," 63,720,896 "," 186,100,917 ",65.76
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Data 2011-2013 menggunakan Backcast dari Penimbang Proyeksi Komponen,,,,,,,,,,,,,,,,,,,,
"1986-1998, penghitungan tanpa data Provinsi Timor Timor",,,,,,,,,,,,,,,,,,,,
"Pada tahun 1995, Sakernas tidak dilaksanakan",,,,,,,,,,,,,,,,,,,,
"Pada tahun 2000, tanpa Maluku",,,,,,,,,,,,,,,,,,,,
Sumber: Survei Angkatan Kerja Nasional (Sakernas),,,,,,,,,,,,,,,,,,,,
